datetime,close,high,low,open,volume
2022/11/3,6.66,6.71,6.64,6.71,21251911
2022/11/2,6.71,6.74,6.66,6.7,24034116
2022/11/1,6.74,6.74,6.65,6.68,27035074
2022/10/31,6.64,6.75,6.63,6.73,32237373
2022/10/28,6.8,6.87,6.75,6.84,28234295
2022/10/27,6.82,6.87,6.81,6.83,21293652
2022/10/26,6.82,6.86,6.8,6.83,20377311
2022/10/25,6.84,6.88,6.8,6.88,26539881
2022/10/24,6.81,6.94,6.8,6.93,38610105
2022/10/21,6.92,7.02,6.91,6.99,24567888
2022/10/20,6.97,7,6.96,6.97,19765093
2022/10/19,6.97,7.04,6.97,7.02,17988215
2022/10/18,7.02,7.06,7.01,7.04,21908675
2022/10/17,7.02,7.05,7,7.05,20616536
2022/10/14,7.03,7.07,7.01,7.03,27342763
2022/10/13,7,7.04,6.97,7.03,24107256
2022/10/12,7.05,7.05,6.96,7.01,20354488
2022/10/11,7.01,7.08,7,7.07,18613647
2022/10/10,7.03,7.09,7.01,7.04,20028296
2022/9/30,7.04,7.07,6.99,7.02,21572691
2022/9/29,6.99,7.13,6.95,7.11,37072647
2022/9/28,7.08,7.12,7.02,7.05,25197590
2022/9/27,7.07,7.09,7.02,7.04,20128163
2022/9/26,7.06,7.17,7.05,7.12,29503476
2022/9/23,7.16,7.18,7.09,7.12,21806262
2022/9/22,7.12,7.14,7.08,7.11,19540404
2022/9/21,7.13,7.16,7.08,7.1,20026161
2022/9/20,7.11,7.18,7.1,7.16,22247046
2022/9/19,7.16,7.2,7.1,7.16,22388073
2022/9/16,7.14,7.32,7.14,7.3,33979138
2022/9/15,7.32,7.37,7.28,7.29,31940343
2022/9/14,7.28,7.34,7.27,7.29,18649011
2022/9/13,7.35,7.36,7.27,7.28,23795140
2022/9/9,7.31,7.34,7.24,7.27,32423037
2022/9/8,7.24,7.27,7.22,7.24,14478347
2022/9/7,7.22,7.26,7.22,7.23,16568470
2022/9/6,7.26,7.3,7.24,7.25,21866681
2022/9/5,7.26,7.27,7.14,7.18,26646247
2022/9/2,7.21,7.27,7.2,7.24,19975499
2022/9/1,7.23,7.29,7.2,7.23,23298388
2022/8/31,7.27,7.28,7.15,7.17,39566130
2022/8/30,7.19,7.2,7.13,7.14,22541928
2022/8/29,7.15,7.21,7.12,7.16,27600324
2022/8/26,7.22,7.26,7.18,7.23,17576235
2022/8/25,7.2,7.22,7.15,7.16,15772556
2022/8/24,7.15,7.22,7.14,7.17,16855765
2022/8/23,7.17,7.22,7.17,7.21,15047471
2022/8/22,7.23,7.24,7.16,7.18,13776616
2022/8/19,7.2,7.28,7.18,7.18,17544569
2022/8/18,7.21,7.27,7.19,7.27,12991819
2022/8/17,7.28,7.3,7.18,7.21,20980840
2022/8/16,7.19,7.26,7.18,7.21,17910142
2022/8/15,7.21,7.29,7.2,7.24,20451392
2022/8/12,7.24,7.26,7.17,7.19,22253354
2022/8/11,7.18,7.19,7.1,7.12,21910821
2022/8/10,7.09,7.13,7.08,7.12,11674742
2022/8/9,7.12,7.15,7.1,7.13,13023820
2022/8/8,7.12,7.18,7.12,7.17,12981219
2022/8/5,7.15,7.18,7.08,7.09,22554203
2022/8/4,7.09,7.1,7.06,7.09,21294463
2022/8/3,7.07,7.17,7.07,7.13,28144846
2022/8/2,7.14,7.22,7.07,7.22,40986083
2022/8/1,7.23,7.28,7.21,7.26,24438011
2022/7/29,7.26,7.35,7.23,7.35,43873316
2022/7/28,7.33,7.37,7.32,7.35,21524372
2022/7/27,7.34,7.37,7.33,7.36,17036417
2022/7/26,7.38,7.39,7.34,7.36,18730569
2022/7/25,7.35,7.38,7.33,7.33,17093960
2022/7/22,7.35,7.38,7.34,7.34,19660796
2022/7/21,7.33,7.41,7.33,7.4,41541585
2022/7/20,7.79,7.85,7.77,7.85,39713402
2022/7/19,7.81,7.82,7.77,7.79,28872304
2022/7/18,7.79,7.79,7.68,7.68,25164232
2022/7/15,7.67,7.8,7.65,7.76,47127632
2022/7/14,7.79,7.86,7.75,7.84,40565878
2022/7/13,7.85,7.94,7.85,7.93,30506523
2022/7/12,7.91,7.94,7.86,7.86,19889798
2022/7/11,7.87,7.9,7.86,7.87,16195472
2022/7/8,7.88,7.9,7.87,7.9,12379190
2022/7/7,7.87,7.92,7.86,7.88,18636395
2022/7/6,7.9,7.98,7.87,7.97,28829658
2022/7/5,7.98,8,7.94,7.96,21322243
2022/7/4,7.96,8,7.94,7.99,18222009
2022/7/1,7.99,8.04,7.98,8.01,17846787
2022/6/30,8.01,8.06,8,8.05,23369617
2022/6/29,8.05,8.06,8,8.01,30299747
2022/6/28,8.04,8.04,7.96,7.97,25729078
2022/6/27,7.97,8.01,7.94,7.95,24067719
2022/6/24,7.95,7.98,7.93,7.97,23665322
2022/6/23,7.97,7.97,7.91,7.94,23255144
2022/6/22,7.92,7.97,7.91,7.96,20635582
2022/6/21,7.97,7.98,7.92,7.92,23245677
2022/6/20,7.91,7.98,7.91,7.95,30065154
2022/6/17,7.97,8,7.89,7.91,35612494
2022/6/16,7.92,8.08,7.92,8.05,56889689
2022/6/15,8.03,8.13,7.85,7.86,112759058
2022/6/14,7.87,7.89,7.73,7.74,55047795
2022/6/13,7.77,7.93,7.74,7.91,104597235
2022/6/10,7.93,8.05,7.89,7.93,123446198
2022/6/9,7.95,7.96,7.84,7.86,60606956
2022/6/8,7.86,7.88,7.83,7.87,39555666
2022/6/7,7.88,7.89,7.83,7.84,30623076
2022/6/6,7.86,7.9,7.82,7.87,33010527
2022/6/2,7.89,7.91,7.87,7.89,18931116
2022/6/1,7.91,7.94,7.89,7.94,18401941
2022/5/31,7.94,7.98,7.88,7.9,31750884
2022/5/30,7.88,8.02,7.87,8.01,35696257
2022/5/27,8,8.01,7.88,7.92,31755338
2022/5/26,7.9,7.92,7.84,7.89,23401589
2022/5/25,7.88,7.93,7.85,7.92,21003364
2022/5/24,7.88,7.97,7.87,7.96,26028514
2022/5/23,7.95,8.06,7.95,8.06,25527572
2022/5/20,8.04,8.05,7.92,7.94,32699572
2022/5/19,7.91,7.98,7.89,7.92,19904191
2022/5/18,7.95,8.01,7.92,7.98,19463913
2022/5/17,8.02,8.04,7.95,8.01,18714191
2022/5/16,7.97,8.07,7.93,8.05,20990826
2022/5/13,8.05,8.05,7.9,7.91,37343358
2022/5/12,7.87,7.91,7.83,7.83,22352229
2022/5/11,7.86,7.9,7.81,7.84,25116815
2022/5/10,7.85,7.89,7.71,7.8,32991018
2022/5/9,7.82,7.86,7.8,7.85,16035420
2022/5/6,7.85,7.98,7.82,7.94,31795578
2022/5/5,7.99,8.08,7.96,8.03,29133140
2022/4/29,8.03,8.06,7.86,7.98,44512846
2022/4/28,7.99,7.99,7.86,7.86,45175169
2022/4/27,7.83,7.95,7.81,7.91,38688614
2022/4/26,7.87,7.99,7.79,7.84,38204259
2022/4/25,7.82,8.1,7.81,8.02,53311550
2022/4/22,8.09,8.12,8.01,8.01,27612017
2022/4/21,8.07,8.16,7.99,8.08,29228035
2022/4/20,8.11,8.15,8.08,8.13,19143935
2022/4/19,8.14,8.14,8.03,8.04,24564490
2022/4/18,8.03,8.14,8.01,8.12,21022369
2022/4/15,8.15,8.18,8.09,8.11,21811956
2022/4/14,8.11,8.15,8.1,8.11,18973150
2022/4/13,8.1,8.14,8.05,8.09,18501150
2022/4/12,8.11,8.15,7.98,8.02,31331939
2022/4/11,8.01,8.11,7.97,8.11,30015679
2022/4/8,8.11,8.12,8.02,8.07,24089173
2022/4/7,8.07,8.18,8.06,8.16,31712143
2022/4/6,8.17,8.18,8,8,42546117
2022/4/1,8.07,8.07,7.94,7.95,31881345
2022/3/31,8,8.02,7.86,7.89,25969772
2022/3/30,7.92,7.92,7.82,7.84,29854369
2022/3/29,7.82,7.86,7.8,7.83,22516978
2022/3/28,7.86,7.87,7.71,7.8,28783984
2022/3/25,7.8,7.86,7.78,7.8,16474442
2022/3/24,7.8,7.83,7.76,7.78,16687677
2022/3/23,7.8,7.84,7.77,7.83,25553686
2022/3/22,7.83,7.88,7.75,7.77,28224469
2022/3/21,7.76,7.84,7.73,7.84,38823962
2022/3/18,7.9,7.91,7.71,7.73,53179530
2022/3/17,7.74,7.85,7.71,7.85,41495556
2022/3/16,7.77,7.8,7.52,7.69,41520083
2022/3/15,7.63,7.93,7.61,7.92,48962295
2022/3/14,7.91,8,7.9,7.95,22770866
2022/3/11,8.01,8.02,7.77,7.89,33286005
2022/3/10,7.92,8.05,7.92,8.01,25181489
2022/3/9,7.9,8.13,7.76,8.11,46035702
2022/3/8,8.08,8.3,8.05,8.29,46688059
2022/3/7,8.29,8.4,8.28,8.38,37177243
2022/3/4,8.4,8.44,8.36,8.44,26395729
2022/3/3,8.46,8.5,8.43,8.44,19864647
2022/3/2,8.42,8.46,8.4,8.41,16708051
2022/3/1,8.44,8.46,8.39,8.39,23540305
2022/2/28,8.39,8.45,8.36,8.44,23393262
2022/2/25,8.43,8.48,8.41,8.44,32239910
2022/2/24,8.44,8.55,8.4,8.54,47703559
2022/2/23,8.54,8.59,8.53,8.59,29476392
2022/2/22,8.58,8.59,8.53,8.57,32497174
2022/2/21,8.6,8.64,8.55,8.64,24334270
2022/2/18,8.67,8.67,8.53,8.55,34384620
2022/2/17,8.56,8.63,8.56,8.6,24533221
2022/2/16,8.59,8.64,8.56,8.58,28609574
2022/2/15,8.55,8.63,8.52,8.59,31680750
2022/2/14,8.6,8.71,8.58,8.69,34727078
2022/2/11,8.74,8.76,8.67,8.7,37682874
2022/2/10,8.69,8.71,8.62,8.66,28716174
2022/2/9,8.64,8.71,8.62,8.64,36223235
2022/2/8,8.65,8.67,8.51,8.53,47572520
2022/2/7,8.52,8.55,8.44,8.48,39988312
2022/1/28,8.41,8.51,8.41,8.48,43993766
2022/1/27,8.45,8.56,8.45,8.55,56281031
2022/1/26,8.57,8.59,8.54,8.57,23481959
2022/1/25,8.56,8.68,8.56,8.68,43312412
2022/1/24,8.69,8.79,8.66,8.79,32489722
2022/1/21,8.76,8.8,8.72,8.78,47572539
2022/1/20,8.8,8.82,8.64,8.66,82842044
2022/1/19,8.64,8.66,8.61,8.63,26257662
2022/1/18,8.63,8.66,8.55,8.58,39995195
2022/1/17,8.57,8.63,8.57,8.57,22177975
2022/1/14,8.59,8.72,8.57,8.72,51060652
2022/1/13,8.72,8.85,8.69,8.73,48923692
2022/1/12,8.69,8.75,8.63,8.75,41240670
2022/1/11,8.73,8.78,8.69,8.74,42646106
2022/1/10,8.72,8.78,8.66,8.72,34055312
2022/1/7,8.71,8.73,8.57,8.57,63018297
2022/1/6,8.57,8.66,8.56,8.66,41031062
2022/1/5,8.64,8.68,8.56,8.57,55459135
2022/1/4,8.57,8.58,8.52,8.54,37707647
2021/12/31,8.53,8.57,8.53,8.54,22929621
2021/12/30,8.54,8.58,8.53,8.54,23272484
2021/12/29,8.54,8.58,8.53,8.57,20050130
