open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701648000000,39979.80,40017.80,39976.50,40017,311.556,1701648059999,12462437.35100,2667,233.614,9344843.98890,0
1701648060000,40017.10,40039,40017,40028.70,421.978,1701648119999,16891563.38990,3192,264.539,10589144.90050,0
1701648120000,40028.50,40047,40013.10,40032.80,271.942,1701648179999,10886192.43970,2738,148.336,5938198.53830,0
1701648180000,40032.90,40032.90,40000,40000,190.291,1701648239999,7614682.42340,2209,46.096,1844639.34560,0
1701648240000,40000.10,40007,39970.40,40007,239.473,1701648299999,9576920.97750,2601,101.562,4061919.21410,0
1701648300000,40007.10,40021.80,39995.10,39996.50,160.630,1701648359999,6426787.37950,2222,61.589,2464068.96190,0
1701648360000,39996.50,40017.70,39976.60,40010.60,206.992,1701648419999,8278144.17660,2530,65.641,2625353.88560,0
1701648420000,40010.60,40110,40000.10,40062.90,1651.382,1701648479999,66157344.86449,8725,1213.312,48606348.54229,0
1701648480000,40062.80,40102.70,40062.20,40102.70,396.668,1701648539999,15899601.03820,3853,226.846,9092738.85470,0
1701648540000,40102.70,40111.80,40072.70,40109.30,422.018,1701648599999,16921637.32820,3269,245.728,9853423.54090,0
1701648600000,40109.40,40113.60,40087.30,40113.50,346.806,1701648659999,13907618.08100,2966,195.913,7856477.22960,0
1701648660000,40113.40,40118.50,40087.20,40094,314.464,1701648719999,12611646.96040,2382,124.770,5003891.88330,0
1701648720000,40094,40127,40094,40118.20,291.109,1701648779999,11677039.76050,2611,179.847,7213855.55300,0
1701648780000,40118.20,40135.80,40114.60,40118.30,297.642,1701648839999,11943512.79093,2650,135.366,5431836.17323,0
1701648840000,40118.30,40124.50,40097,40121,188.640,1701648899999,7567287.19400,2012,76.209,3057186.79770,0
1701648900000,40121.30,40130.20,40084,40098.60,262.295,1701648959999,10520297.09680,2393,88.409,3546151.28180,0
1701648960000,40098.70,40119.70,40092.80,40093.30,228.311,1701649019999,9156580.71920,2232,74.720,2996849.78970,0
1701649020000,40093.30,40138.40,40091.70,40136.40,512.363,1701649079999,20558550.38120,3337,360.859,14479730.86180,0
1701649080000,40136.40,40140,40130.10,40139,172.976,1701649139999,6942604.21210,1795,68.071,2732082.81430,0
1701649140000,40138.90,40149,40132.60,40134.20,263.100,1701649199999,10561620.05030,3422,140.499,5639991.52460,0
1701649200000,40134.20,40134.20,40096,40096.10,157.950,1701649259999,6336584.54610,2368,50.317,2018424.12440,0
1701649260000,40096,40107,40054.90,40054.90,355.654,1701649319999,14253845.33560,3240,105.411,4225215.15010,0
1701649320000,40054.70,40095.20,40054.60,40095.10,91.530,1701649379999,3667626.18560,1414,54.358,2178290.76700,0
1701649380000,40095.10,40110,40067.60,40078.40,187.189,1701649439999,7503439.80830,2068,84.916,3403821.78030,0
1701649440000,40078.30,40089.80,40074.60,40089.80,68.306,1701649499999,2737766.28850,1164,30.887,1237988.01030,0
1701649500000,40089.80,40094.70,40079.70,40081.40,104.575,1701649559999,4192043.30240,1425,32.587,1306241.27200,0
1701649560000,40081.40,40085,40060,40071.30,160.513,1701649619999,6432039.12340,1534,41.528,1663948.61940,0
1701649620000,40071.30,40088.70,40071.20,40085,68.850,1701649679999,2759363.72540,1369,27.761,1112649.93860,0
1701649680000,40085,40087.50,40067,40071.60,64.432,1701649739999,2582087.42770,1157,25.165,1008422.51120,0
1701649740000,40071.50,40071.60,40052,40071.30,105.912,1701649799999,4242834.89720,1557,53.867,2157888.43140,0
1701649800000,40071.30,40105,40065.70,40105,182.118,1701649859999,7300341.87870,2246,111.097,4453249.69660,0
1701649860000,40105.10,40125.50,40091.80,40119.20,178.602,1701649919999,7164082.79480,2475,110.354,4426730.48250,0
1701649920000,40119.10,40125.50,40105.20,40107.70,165.010,1701649979999,6619574.53320,2102,105.161,4218725.79520,0
1701649980000,40107.60,40111.60,40087.20,40103.70,208.611,1701650039999,8365067.16680,1723,148.605,5959044.62830,0
1701650040000,40103.60,40174,40094,40159.60,1312.490,1701650099999,52683868.82250,7363,1031.388,41399289.44990,0
1701650100000,40159.50,40159.50,40102.90,40102.90,239.340,1701650159999,9605159.37040,2457,67.333,2702636.87790,0
1701650160000,40102.90,40112.90,40085.80,40089.50,152.099,1701650219999,6098910.71600,1832,52.139,2090797.84550,0
1701650220000,40089.60,40098.20,40083.20,40092.10,143.345,1701650279999,5746604.34190,1616,73.478,2945761.52010,0
1701650280000,40092.10,40113.20,40080,40094.60,211.844,1701650339999,8494715.76400,2330,75.928,3044412.50070,0
1701650340000,40094.50,40096,40085,40095.90,63.715,1701650399999,2554382.40160,912,20.721,830726.54690,0
