open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1685577600000,1878.88,1881.61,1878.88,1880.44,23.747,1685577659999,44655.69791,95,12.692,23867.38921,0
1685577660000,1880.04,1880.73,1879.54,1880.71,7.329,1685577719999,13777.93308,32,3.332,6264.79741,0
1685577720000,1881.18,1881.50,1881.18,1881.32,1.034,1685577779999,1945.35814,8,0.897,1687.61730,0
1685577780000,1881.29,1882.75,1881.09,1881.33,12.470,1685577839999,23467.90071,24,9.140,17199.08631,0
1685577840000,1881.28,1881.76,1881.09,1881.44,8.195,1685577899999,15417.99580,15,6.999,13167.56112,0
1685577900000,1881.75,1882.84,1881.65,1881.65,7.054,1685577959999,13278.50876,22,6.913,13013.11583,0
1685577960000,1881.22,1881.22,1879.53,1879.57,8.035,1685578019999,15106.88929,24,1.067,2006.27141,0
1685578020000,1879.39,1880.23,1878.89,1880.23,8.005,1685578079999,15043.21592,17,2.624,4931.58048,0
1685578080000,1880.19,1880.70,1880.19,1880.48,2.268,1685578139999,4265.07066,7,2.159,4060.09589,0
1685578140000,1880.48,1881.50,1880.48,1881.50,3.220,1685578199999,6057.20306,6,3.152,5929.33042,0
1685578200000,1881.65,1889.39,1881.65,1887.57,247.089,1685578259999,465860.24484,147,227.618,429111.80890,0
1685578260000,1887.67,1894.55,1886.99,1890.32,99.527,1685578319999,188330.32448,168,32.331,61170.72605,0
1685578320000,1890.47,1892.75,1889.38,1891.38,46.590,1685578379999,88124.23798,74,13.231,25025.09091,0
1685578380000,1891.34,1891.63,1890.04,1890.46,12.673,1685578439999,23963.90940,40,2.120,4009.37643,0
1685578440000,1890.46,1891.44,1890.27,1890.67,8.752,1685578499999,16551.25341,23,7.948,15030.95057,0
1685578500000,1890.52,1892.21,1890.52,1890.75,26.988,1685578559999,51049.69918,37,2.402,4542.03897,0
1685578560000,1890.50,1893.05,1890.32,1893.05,11.576,1685578619999,21893.50530,21,11.142,21072.80251,0
1685578620000,1893.22,1893.23,1890.93,1890.93,18.066,1685578679999,34180.75821,31,4.383,8291.43524,0
1685578680000,1891.01,1891.91,1890.40,1891.42,14.739,1685578739999,27873.12286,24,10.009,18928.21287,0
1685578740000,1890.24,1891.10,1890.02,1890.30,7.359,1685578799999,13913.98970,22,5.186,9806.59973,0
1685578800000,1890.57,1891.80,1890.57,1891.79,0.893,1685578859999,1689.04653,11,0.521,985.37044,0
1685578860000,1892.30,1894.66,1892.30,1892.77,36.378,1685578919999,68894.68039,47,14.520,27491.88572,0
1685578920000,1892.78,1893.48,1892.46,1893.13,7.432,1685578979999,14068.16053,19,6.680,12644.58218,0
1685578980000,1893.00,1893.19,1891.60,1891.60,20.667,1685579039999,39107.49927,35,3.014,5705.51624,0
1685579040000,1891.48,1892.55,1891.20,1892.27,9.749,1685579099999,18444.03297,17,2.677,5063.61486,0
1685579100000,1892.38,1892.77,1891.55,1891.55,4.293,1685579159999,8124.61957,15,1.972,3731.79288,0
1685579160000,1891.56,1892.98,1891.56,1892.95,8.000,1685579219999,15138.95241,24,6.544,12383.34296,0
1685579220000,1892.47,1893.78,1892.47,1893.45,4.824,1685579279999,9133.90858,8,2.060,3899.67344,0
1685579280000,1893.48,1893.64,1893.00,1893.20,0.637,1685579339999,1206.01148,6,0.557,1054.53652,0
1685579340000,1892.99,1892.99,1892.38,1892.55,2.037,1685579399999,3855.51919,10,0.000,0.00000,0
1685579400000,1892.57,1894.66,1890.66,1890.66,6.340,1685579459999,11996.24564,27,0.733,1387.40169,0
1685579460000,1890.50,1890.50,1888.58,1888.58,3.809,1685579519999,7196.21188,16,0.104,196.56520,0
1685579520000,1888.58,1888.58,1886.48,1887.66,24.608,1685579579999,46452.07431,56,9.204,17377.07363,0
